Point in Time [s],Response Time [s]
1.551375,1.551375
3.10275,1.551375
4.654125,1.5513749999999997
6.2055,1.5513750000000002
7.756875,1.5513750000000002
9.30825,1.5513749999999993
10.859625,1.5513750000000002
12.411,1.5513750000000002
13.962375,1.5513750000000002
15.51375,1.5513750000000002
17.065125,1.5513749999999984
18.6165,1.5513750000000002
20.167875,1.5513750000000002
21.71925,1.5513750000000002
23.270625,1.5513750000000002
24.822,1.5513750000000002
26.373375,1.5513750000000002
27.92475,1.5513750000000002
29.476125,1.5513750000000002
31.0275,1.5513750000000002
32.578875,1.5513749999999966
34.13025,1.5513750000000002
35.681625,1.5513750000000002
37.233,1.5513750000000002
38.784375,1.5513750000000002
40.33575,1.5513750000000002
41.887125,1.5513750000000002
43.4385,1.5513750000000002
44.989875,1.5513750000000002
46.54125,1.5513750000000002
48.092625,1.5513750000000002
49.644,1.5513750000000002
51.195375,1.5513750000000002
52.74675,1.5513750000000002
54.298125,1.5513750000000002
55.8495,1.5513750000000002
57.400875,1.5513750000000002
58.95225,1.5513750000000002
60.503625,1.5513750000000002
62.055,1.5513750000000002
63.606375,1.5513750000000002
65.15775,1.551374999999993
66.709125,1.5513750000000073
68.2605,1.551374999999993
69.811875,1.5513750000000073
71.36325,1.551374999999993
72.914625,1.5513750000000073
74.466,1.551374999999993
76.017375,1.5513750000000073
77.56875,1.551374999999993
79.120125,1.5513750000000073
80.6715,1.551374999999993
82.222875,1.5513750000000073
83.77425,1.551374999999993
85.325625,1.5513750000000073
86.877,1.551374999999993
88.428375,1.5513750000000073
89.97975,1.551374999999993
91.531125,1.5513750000000073
93.0825,1.551374999999993
94.633875,1.5513750000000073
96.18525,1.551374999999993
97.736625,1.5513750000000073
99.288,1.551374999999993
100.839375,1.5513750000000073
102.39075,1.551374999999993
103.942125,1.5513750000000073
105.4935,1.551374999999993
107.044875,1.5513750000000073
108.59625,1.551374999999993
110.147625,1.5513750000000073
111.699,1.551374999999993
113.250375,1.5513750000000073
114.80175,1.551374999999993
116.353125,1.5513750000000073
117.9045,1.551374999999993
119.455875,1.5513750000000073
121.00725,1.551374999999993
122.558625,1.5513750000000073
124.11,1.551374999999993
125.661375,1.5513750000000073
127.21275,1.551374999999993
128.764125,1.5513750000000073
130.3155,1.5513749999999789
131.866875,1.5513750000000073
133.41825,1.5513750000000073
134.969625,1.5513750000000073
136.521,1.5513749999999789
138.072375,1.5513750000000073
139.62375,1.5513750000000073
141.175125,1.5513750000000073
142.7265,1.5513749999999789
144.277875,1.5513750000000073
145.82925,1.5513750000000073
147.380625,1.5513750000000073
148.932,1.5513749999999789
150.483375,1.5513750000000073
152.03475,1.5513750000000073
153.586125,1.5513750000000073
155.1375,1.5513749999999789
156.688875,1.5513750000000073
158.24025,1.5513750000000073
159.791625,1.5513750000000073
161.343,1.5513749999999789
162.894375,1.5513750000000073
164.44575,1.5513750000000073
165.997125,1.5513750000000073
167.5485,1.5513749999999789
169.099875,1.5513750000000073
170.65125,1.5513750000000073
172.202625,1.5513750000000073
173.754,1.5513749999999789
175.305375,1.5513750000000073
176.85675,1.5513750000000073
178.408125,1.5513750000000073
179.9595,1.5513749999999789
181.510875,1.5513750000000073
183.06225,1.5513750000000073
184.613625,1.5513750000000073
186.165,1.5513749999999789
187.716375,1.5513750000000073
189.26775,1.5513750000000073
