Point in Time [s],Response Time [s]
9414.999999999,9414.999999999
18829.999999998,9414.999999999
28244.999999997,9414.999999999
37659.999999996,9414.999999999
47074.999999995,9414.999999999003
56489.999999994,9414.999999998996
65904.999999993,9414.999999999003
75319.999999992,9414.999999998996
84734.999999991,9414.99999999901
94149.99999999,9414.999999998996
103564.999999989,9414.999999998996
112979.999999988,9414.999999998996
122394.999999987,9414.99999999901
131809.999999987,9414.999999999985
141224.999999986,9414.99999999901
