Point in Time [s],Response Time [s]
18629.999999999,18629.999999999
37259.999999998,18629.999999999
55889.999999997,18629.999999999003
74519.999999996,18629.999999998996
93149.999999995,18629.999999998996
111779.999999994,18629.99999999901
130409.999999993,18629.999999998996
149039.999999992,18629.999999998996
167669.999999991,18629.99999999901
186299.99999999,18629.99999999898
204929.999999989,18629.99999999901
223559.999999988,18629.99999999901
242189.999999987,18629.99999999898
260819.999999986,18629.99999999901
279449.999999985,18629.99999999898
298079.999999984,18629.99999999901
316709.999999983,18629.99999999901
335339.999999982,18629.99999999901
353969.999999981,18629.99999999901
372599.99999998,18629.999999998952
391229.999999979,18629.99999999901
409859.999999978,18629.99999999901
428489.999999977,18629.99999999901
447119.999999976,18629.99999999901
465749.999999975,18629.99999999901
484379.999999974,18629.999999998952
503009.999999973,18629.99999999901
521639.999999972,18629.99999999901
540269.999999971,18629.99999999901
558899.99999997,18629.999999998952
577529.999999969,18629.99999999907
596159.999999968,18629.999999998952
614789.999999967,18629.99999999907
633419.999999966,18629.999999998952
652049.999999965,18629.999999998952
670679.999999964,18629.99999999907
689309.999999963,18629.999999998952
707939.999999962,18629.99999999907
726569.999999961,18629.999999998952
745199.99999996,18629.999999998952
763829.999999959,18629.99999999907
782459.999999958,18629.999999998952
801089.999999957,18629.99999999907
819719.999999956,18629.999999998952
838349.999999955,18629.999999998952
856979.999999954,18629.99999999907
875609.999999953,18629.999999998952
894239.999999952,18629.99999999907
912869.999999951,18629.999999998952
931499.99999995,18629.99999999907
950129.999999949,18629.999999998952
968759.999999948,18629.999999998952
987389.999999947,18629.99999999907
1006019.999999946,18629.999999998952
1024649.999999945,18629.99999999907
1043279.999999944,18629.999999998952
1061909.999999943,18629.999999998952
1080539.999999942,18629.99999999907
1099169.999999941,18629.99999999907
1117799.99999994,18629.999999998836
1136429.999999939,18629.99999999907
1155059.999999938,18629.99999999907
1173689.999999937,18629.999999998836
1192319.999999936,18629.99999999907
1210949.999999935,18629.99999999907
1229579.999999934,18629.99999999907
1248209.999999933,18629.999999998836
1266839.999999932,18629.99999999907
1285469.999999931,18629.99999999907
1304099.99999993,18629.999999998836
1322729.999999929,18629.99999999907
1341359.999999928,18629.99999999907
1359989.999999927,18629.999999998836
1378619.999999926,18629.99999999907
1397249.999999925,18629.99999999907
1415879.999999924,18629.99999999907
1434509.999999923,18629.999999998836
1453139.999999922,18629.99999999907
1471769.999999921,18629.99999999907
1490399.99999992,18629.999999998836
1509029.999999919,18629.99999999907
1527659.999999918,18629.99999999907
1546289.999999917,18629.99999999907
1564919.999999916,18629.999999998836
1583549.999999915,18629.99999999907
1602179.999999914,18629.99999999907
1620809.999999913,18629.999999998836
1639439.999999912,18629.99999999907
1658069.999999911,18629.99999999907
1676699.99999991,18629.999999998836
1695329.999999909,18629.99999999907
1713959.999999908,18629.99999999907
1732589.999999907,18629.99999999907
1751219.999999906,18629.999999998836
1769849.999999905,18629.99999999907
1788479.999999904,18629.99999999907
1807109.999999903,18629.999999998836
1825739.999999902,18629.99999999907
1844369.999999901,18629.99999999907
1862999.9999999,18629.99999999907
